order_number,item_number,product_name,item_sales_units
22711841763,61005,Craft Paper Hard Cover Bound Notebook,1
22711841763,14009,Organic Aged White Cheddar Popcorn,2
22711841763,22002,Toilet Bowl Cleaner,1
22711841763,14011,Toasted Coconut Cookie Thins,1
22711841763,11045,Vanilla Cocoa Granola,1
22711841763,31007,Hand Cream,1
22711841763,14004,Gummy Fruit Wedges,1
22711841763,14003,Gummy Fish,1
22709248007,14006,Organic Yellow Corn Tortilla Chips,1
22709248007,11016,Organic Virgin Coconut Oil,2
22709248007,11012,Organic Long Grain Brown Rice,1
22709248007,11054,Organic Thick & Chunky Salsa,1
22709248007,11019,Organic Dark Red Kidney Beans,1
22709248007,14009,Organic Aged White Cheddar Popcorn,1
22709248007,12017,Organic Unbleached All-Purpose Wheat Flour,1
22709248007,11018,Organic Black Beans,1
22709248007,11003,Organic Creamy Peanut Butter,1
22709248007,11001,Organic Honey,1
22709248007,11056,Organic Tomato Basil Pasta Sauce,1
22709248007,11025,Organic Extra Virgin Olive Oil,1
22709248007,11020,Organic Garbanzo Beans,1
22709248007,11043,Organic Oats & Honey Granola,1
22709248007,11061,Gochujang Korean Sweet & Spicy Cooking Sauce,1
22709248007,12013,2pk Organic Taco Seasoning Packet,1
22709248007,11050,Organic Italian Dressing,1
22709248007,11060,Organic Texas Style Barbecue Sauce,1
22709248007,53009,Can Opener,1
22709248007,14016,Organic Honey Graham Crackers,1
22709248007,11049,Organic Teriyaki Sauce & Marinade ,1
22705522950,31008,Gel Hand Soap,2
22705522950,14006,Organic Yellow Corn Tortilla Chips,2
22705522950,33002,Peppermint Mouthwash,1
